BL	N	stra	Rep	RM	RL	RLD	RlR	Rlh	Wm	Wl	Wld	Wlr	Wlh	FD	WT
4	8	0	1	7502899	8026931	2547108	8026931	0	2113123	2882915	319428	2882915	0	16379	0
4	8	1	0	7502899	8026931	0	8026931	0	2113123	2882915	0	2882915	0	0	11531660
4	8	1	1	7502899	8026931	0	8026931	0	2113123	2882915	0	2882915	0	0	11531660
4	8	2	0	7502899	8026931	0	8026931	0	2113123	2882915	0	0	0	0	11531660
4	8	2	1	7502899	8026931	0	8026931	0	2113123	2882915	0	0	0	0	11531660
8	1	0	0	7502899	8010675	2317761	8010675	0	2113123	2620899	294949	2620899	0	8189	0
8	1	0	1	7502899	8010675	2317761	8010675	0	2113123	2620899	294949	2620899	0	8189	0
8	1	1	0	7502899	8010675	0	8010675	0	2113123	2620899	0	2620899	0	0	20967192
8	1	1	1	7502899	8010675	0	8010675	0	2113123	2620899	0	2620899	0	0	20967192
8	1	2	0	7502899	8010675	0	8010675	0	2113123	2620899	0	0	0	0	20967192
8	1	2	1	7502899	8010675	0	8010675	0	2113123	2620899	0	0	0	0	20967192
8	2	0	0	7502899	8010675	1978227	8010675	0	2113123	2620899	638577	2620899	0	4095	0
8	2	0	1	7502899	8010675	2305504	8010675	0	2113123	2620899	307206	2620899	0	8189	0
8	2	1	0	7502899	8010675	0	8010675	0	2113123	2620899	0	2620899	0	0	20967192
8	2	1	1	7502899	8010675	0	8010675	0	2113123	2620899	0	2620899	0	0	20967192
8	2	2	0	7502899	8010675	0	8010675	0	2113123	2620899	0	0	0	0	20967192
8	2	2	1	7502899	8010675	0	8010675	0	2113123	2620899	0	0	0	0	20967192
8	4	0	0	7502899	8010675	1364610	8010675	0	2113123	2620899	1252195	2620899	0	4094	0
8	4	0	1	7502899	8010675	2289211	8010675	0	2113123	2620899	323499	2620899	0	8189	0
8	4	1	0	7502899	8010675	0	8010675	0	2113123	2620899	0	2620899	0	0	20967192
8	4	1	1	7502899	8010675	0	8010675	0	2113123	2620899	0	2620899	0	0	20967192
8	4	2	0	7502899	8010675	0	8010675	0	2113123	2620899	0	0	0	0	20967192
8	4	2	1	7502899	8010675	0	8010675	0	2113123	2620899	0	0	0	0	20967192
8	8	0	0	7502899	8010675	1598671	8010675	0	2113123	2620899	1018138	2620899	0	4090	0
8	8	0	1	7502899	8010675	2273047	8010675	0	2113123	2620899	339663	2620899	0	8189	0
8	8	1	0	7502899	8010675	0	8010675	0	2113123	2620899	0	2620899	0	0	20967192
8	8	1	1	7502899	8010675	0	8010675	0	2113123	2620899	0	2620899	0	0	20967192
8	8	2	0	7502899	8010675	0	8010675	0	2113123	2620899	0	0	0	0	20967192
8	8	2	1	7502899	8010675	0	8010675	0	2113123	2620899	0	0	0	0	20967192
